sku,total_sales,post_type
15075,3.0,product
16209,6.0,product
13895,0.0,product
12857,0.0,product
14106,0.0,product
13996,2.0,product
15428,7.0,product
7033,4.0,product
16077,37.0,product
16237,36.0,product
16028,9.0,product
1364,0.0,product
13913,0.0,product
19815,0.0,product
14982,0.0,product
15339,0.0,product
15382,0.0,product
15325,4.0,product
14941,6.0,product
15241,0.0,product
12641,0.0,product
12942,0.0,product
15344,0.0,product
15661,0.0,product
16274,13.0,product
15718,0.0,product
14395,4.0,product
15254,0.0,product
14839,3.0,product
13957,0.0,product
15004,3.0,product
16005,4.0,product
15615,8.0,product
15206,5.0,product
14371,0.0,product
15378,1.0,product
15141,18.0,product
14805,0.0,product
16238,7.0,product
15280,0.0,product
15038,10.0,product
16505,12.0,product
15880,1.0,product
16527,15.0,product
15649,18.0,product
15621,19.0,product
14604,7.0,product
15032,8.0,product
15329,3.0,product
15733,19.0,product
15237,0.0,product
15711,0.0,product
15261,6.0,product
15790,0.0,product
15414,3.0,product
15030,9.0,product
14950,4.0,product
15892,0.0,product
15425,4.0,product
16130,9.0,product
807,0.0,product
15933,12.0,product
15868,6.0,product
15478,1.0,product
15269,6.0,product
13904,0.0,product
793,4.0,product
14302,7.0,product
14192,0.0,product
10775,0.0,product
15448,1.0,product
15736,0.0,product
15648,3.0,product
15921,0.0,product
16148,1.0,product
15735,0.0,product
15196,0.0,product
16071,0.0,product
13531,1.0,product
13969,0.0,product
14632,0.0,product
12869,0.0,product
16564,3.0,product
14975,0.0,product
13435,10.0,product
16263,12.0,product
14506,0.0,product
15527,0.0,product
14580,0.0,product
13089,1.0,product
16053,1.0,product
14944,3.0,product
16264,38.0,product
11586,0.0,product
15213,1.0,product
13959,1.0,product
15657,0.0,product
16151,4.0,product
15479,0.0,product
15887,0.0,product
15891,0.0,product
12791,0.0,product
13910,5.0,product
16210,43.0,product
15526,4.0,product
16342,1.0,product
13567,2.0,product
3506,1.0,product
15047,5.0,product
11258,2.0,product
14338,0.0,product
2179,0.0,product
16318,11.0,product
14095,0.0,product
7086,0.0,product
16586,26.0,product
16013,4.0,product
15202,6.0,product
11601,0.0,product
15658,6.0,product
16153,8.0,product
15315,0.0,product
16067,0.0,product
15318,0.0,product
14855,6.0,product
15444,7.0,product
16230,0.0,product
16305,3.0,product
16066,10.0,product
15205,0.0,product
16262,2.0,product
15860,22.0,product
16578,0.0,product
15473,1.0,product
16144,0.0,product
14332,1.0,product
16304,14.0,product
16295,46.0,product
13849,0.0,product
15204,3.0,product
14802,0.0,product
14945,2.0,product
16160,17.0,product
14485,5.0,product
15361,3.0,product
15934,2.0,product
15813,0.0,product
16191,5.0,product
15629,9.0,product
16553,3.0,product
16166,7.0,product
11668,0.0,product
15944,2.0,product
12882,0.0,product
16317,30.0,product
16525,8.0,product
15895,0.0,product
16324,2.0,product
14661,5.0,product
16322,0.0,product
15147,1.0,product
15148,0.0,product
16093,0.0,product
14865,3.0,product
13854,0.0,product
16537,2.0,product
14930,3.0,product
16239,1.0,product
15672,0.0,product
15306,2.0,product
12599,1.0,product
15441,9.0,product
16229,0.0,product
15655,0.0,product
12588,0.0,product
13211,0.0,product
15185,0.0,product
19814,3.0,product
14897,0.0,product
15756,1.0,product
14915,0.0,product
15292,1.0,product
14856,3.0,product
14241,1.0,product
15791,1.0,product
3510,13.0,product
13914,0.0,product
15845,1.0,product
15567,1.0,product
15952,3.0,product
15753,0.0,product
16246,0.0,product
15797,0.0,product
15574,0.0,product
15958,2.0,product
15415,6.0,product
15282,1.0,product
15720,0.0,product
13209,0.0,product
12771,0.0,product
15070,0.0,product
14679,4.0,product
13096,1.0,product
15487,1.0,product
11736,0.0,product
16244,0.0,product
3568,10.0,product
15436,0.0,product
16539,5.0,product
14570,0.0,product
16043,1.0,product
15870,0.0,product
15264,3.0,product
14366,0.0,product
15647,7.0,product
12587,3.0,product
14955,1.0,product
13215,0.0,product
15486,0.0,product
15183,1.0,product
15670,0.0,product
11049,0.0,product
15794,1.0,product
15946,0.0,product
5646,0.0,product
14100,0.0,product
15462,0.0,product
16565,0.0,product
16081,0.0,product
13074,0.0,product
16585,3.0,product
11602,0.0,product
15145,0.0,product
13736,1.0,product
16256,8.0,product
15665,2.0,product
523,0.0,product
15631,21.0,product
14775,0.0,product
14844,3.0,product
13073,0.0,product
2534,2.0,product
13032,2.0,product
4679,0.0,product
16540,2.0,product
14508,0.0,product
15533,24.0,product
15676,0.0,product
14864,12.0,product
13217,0.0,product
13230,0.0,product
15525,2.0,product
15338,0.0,product
14099,0.0,product
14372,0.0,product
15136,3.0,product
15737,14.0,product
16261,1.0,product
13291,0.0,product
15818,12.0,product
15298,6.0,product
16057,0.0,product
12366,0.0,product
16189,42.0,product
15928,10.0,product
14912,0.0,product
15310,14.0,product
15178,4.0,product
16042,7.0,product
15561,24.0,product
15281,0.0,product
15713,2.0,product
15426,3.0,product
802,0.0,product
